公司名称,企业性质,所属行业,招聘类型,招聘对象,工作地点,岗位,更新时间,截止时间,投递链接,相关公告,笔试情况
中国银河证券,央国企,银行/金融/证券/保险,秋招,2027届,"北京,上海,南京,广州,深圳,厦门,太原,全国,重庆,香港,海外",,,,,,
达坦能源科技,民企,石油/化工,秋招,2027届,上海成都德阳杭州,旋转导向智能算法/AI工程师随钻多模态数据建模与地质智能导向工程师 模型轻量化/井下边缘部署优化工程师行业大模型与智能应用落地工程师 旋转导向井下核心算法旋导系统通信工程师,2026/09/01,尽快投递,https://mp.weixin.qq.com/s/sEifBGzSBH7N9lgSpdK9GQ?scene=1&amp;click_id=226573339,https://mp.weixin.qq.com/s/sEifBGzSBH7N9lgSpdK9GQ?scene=1&amp;click_id=226573339,未明确
大道投资,民企,银行/金融/证券/保险,秋招,2027届,深圳,量化研究员机器学习研究员量化开发工程师,2026/09/01,尽快投递,https://mp.weixin.qq.com/s/aIwhEtE38KSbGgsMYCph1g,https://mp.weixin.qq.com/s/aIwhEtE38KSbGgsMYCph1g,需要笔试
湖北星辰技术有限公司,民企,电子/半导体,秋招,2027届,武汉,研发类工程技术类生产运营类信息技术类职能类 市场类,2026/09/01,尽快投递,https://hsingchen.zhiye.com/campus/jobs,https://mp.weixin.qq.com/s/U-bD2d1z2t3jDmqApZ12LA?scene=1&amp;click_id=1484386762,未明确
迪卡侬,外企,快消/食品/零售/消费,秋招,2027届,桂林深圳 常州南京威海广州珠海北京晋中武汉天津青岛 淄博上海海口重庆贵阳济南保定福州石家庄成都全国其他,运动部门经理全渠道运动主管线上运营主管供应链计划主管生产供应链主管供应商质量和新产品导入主管物流部门经理,2026/09/01,尽快投递,https://wecruit.hotjob.cn/SU64631fe6bef57c0907f133c4/pb/school.html,https://mp.weixin.qq.com/s/gE6wqz9nTjf_OSO-pkY7Hw,未明确
美的集团,民企,家电,秋招,"2027届, 2026届",佛山上海合肥无锡北京武汉深圳苏州芜湖荆州邯郸 安庆嘉兴广州 重庆宜春昆山淮安,研发技术类制造技术类信息技术类供立链物流类国内营销类海外营销类财务金融类管理类,2026/09/01,尽快投递,https://careers.midea.com/schoolOut/post,https://mp.weixin.qq.com/s/g0jCXIeeW7dC3Pfs-9iCsw,部分免笔试
电科蓝天,央国企,能源/电力,秋招,2027届,天津成都,电源系统研发类化学电源研发类物理电源研发类机械仿真及共性基础研发类系统论证类,2026/09/01,尽快投递,https://dklt.zhiye.com/campus/jobs,https://mp.weixin.qq.com/s/jOdFwx2FAh0WNnelmYGCHQ,未明确
蓝箭航天,民企,高端装备与国防科技/航空航天,秋招,2027届,北京上海西安湖州嘉兴无锡酒泉成都南京,力学航空宇航科学与技术机械工程动力工程及工程热物理电气工程控制科学与工程电子科学与技术信息与通信工程计算机科学与技术材料科学与工程仪器科学与技术等专业,2026/09/01,尽快投递,https://uq1h428xyc.jobs.feishu.cn/522146/?spread=TSSQ2FT,https://mp.weixin.qq.com/s/TqWoZ4Y80qkyoZKBs16RdQ,未明确
格力电器,民企,家电,秋招,2027届,珠海,博士生岗技术研发类信息技术类技术支持类制造技术类经营销售类行政职能类采购物理类,2026/09/01,尽快投递,https://zhaopin.greeyun.com/home,https://mp.weixin.qq.com/s/mkumV3OXtVDX1FzJVZlvWA,未明确
景嘉微,民企,电子/半导体,秋招,2027届,长沙上海,芯片架构类软件类数字类硬件类职能类,2026/09/01,2026-10-31,https://app.mokahr.com/campus-recruitment/jjw/143541#/jobs,https://mp.weixin.qq.com/s/HW4Ko5PDEqTkcuiRksj2Cw,需要笔试
成都四威科技股份有限公司,央国企,通信设备,秋招,2027届,成都,光学工程光电信息科学与工程 信息与通信工程电子科学与技术电气自动化机械工程物理学仪器科学与技术通信工程电子信息工程集成电路现代通信技术智能控制等专业,2026/09/01,尽快投递,https://mp.weixin.qq.com/s/rFSRUMLudqRAIwiwzok-dQ,https://mp.weixin.qq.com/s/rFSRUMLudqRAIwiwzok-dQ,未明确
麦吉丽集团,民企,快消/食品/零售/消费,秋招,2027届,武汉上海,电商管培生市场管培生产品营销管培主数据洞察管培生设计管培生产品管培生,2026/09/01,尽快投递,https://mp.weixin.qq.com/s/nplch5o8nwkS3KEBMX-OkQ,https://mp.weixin.qq.com/s/nplch5o8nwkS3KEBMX-OkQ,未明确
新界泵业,民企,机械设备/电气系统,秋招,2027届,台州杭州宿迁全国,营销类技术类制造类电商类质量类,2026/09/01,尽快投递,http://hr.shimge.com/humanlist1.aspx?keyword=zz&amp;category_id=0&amp;page=1,https://mp.weixin.qq.com/s/ZQL4qCv9MgWPiqnNpV8OEg,未明确
远东通信,央国企,通信设备,秋招,"2027届, 2026届",石家庄,协议栈开发工程师嵌入式开发工程师射频开发工程师算法开发工程师音视频开发工程师鸿蒙APP开发工程师 硬件开发工程师项目工程师工艺技术支持,2026/09/01,尽快投递,https://mp.weixin.qq.com/s/FIHY1Eh4IIr4GeWngWIE6A?scene=1&amp;click_id=2056000631,https://mp.weixin.qq.com/s/FIHY1Eh4IIr4GeWngWIE6A?scene=1&amp;click_id=2056000631,需要笔试
碳一新能源,民企,能源/电力,秋招,2027届,安庆衢州昭通衢州青岛深圳池州杭州,研发工程师高级研发工程师应用工程师生产储干品质工程师/助理 设备工程师/助理工艺工程师/助理EHS工程师/助理 营销(海外)采购计划物料人力资源财务企宣,2026/09/01,尽快投递,https://mp.weixin.qq.com/s/oCIDHiGovLMz5PoG3cFj3Q,https://mp.weixin.qq.com/s/oCIDHiGovLMz5PoG3cFj3Q,未明确
玖锦科技,民企,电子/半导体,秋招,2027届,成都,电子工程、射频微波、通信、信号处理光电、自动化、仪器仪表、计算机电磁场与微波技术、电子对抗、电子信息数学、物理等相关专业,2026/09/01,尽快投递,https://mh.hire66.com/position?secret_key=UHaVro87cc,https://mp.weixin.qq.com/s/iaMFAGb2xO2HhY3T_1wHGQ?scene=1&amp;click_id=503656341,未明确
树根科技,民企,科技,秋招,2027届,北京长沙广州杭州,机械结构工程师电气工程师嵌入式软件工程师液压工程师 仿真工程。师海外销售管培生定位算法工程师 控制算法工程师强化学习算法工程师多模态模型算法与数据挖掘工程师GPU推理算子,2026/09/01,尽快投递,https://irootech.zhiye.com/campus/jobs,https://irootech.zhiye.com/campus/jobs,需要笔试
惟甲科技,民企,电子/半导体,秋招,2027届,上海,系统/光学/电子/机械/算法/软件工程师、应用/技术支持工程师、销售精英,2026/09/01,尽快投递,https://mp.weixin.qq.com/s/v7FYDoBLtfEwQYgjucYUJQ?scene=1&amp;click_id=1471831125,https://mp.weixin.qq.com/s/v7FYDoBLtfEwQYgjucYUJQ?scene=1&amp;click_id=1471831125,未明确
中国电科第四十、四十一研究所,央国企,国企,秋招,2027届,"蚌埠,青岛","硬件设计工程师,微波电路工程师,微波设计工程师(无源器件),微波硬件工程师,高级硬件工程师，嵌入式硬件工程师,光芯片工程师,光学设计工程师,真空高压馈通设计工程师，开关模块设计工程师,机器视觉硬件工程师,FPGA工程师,信号处理算法工程师,深度学习/人工智能算法工程师,量子精密测试工程师，系统软件工程师,嵌入式软件工程师,软件研发工程师,机器视觉软件工程师,项目总师(技术总师),系统集成工程师,无人系统集成工程师,通信网络工程师，机械结构设计工程师,封装设计工程师,高速光通信测试工程师,计量检测工程师,信号处理工程师,电装工艺工程师,封装工艺工程师,工艺工程师,技术支持，销售经理/工程师电子信息工程、通信工程、电子科学与技术、电子与通信工程、信息与通信工程、电磁场与微波技术、射频电路与系统、光电信息科学与工程、集成电路工程、微电子科学与工程、半导体科学与工程、计算机科学与技术、软件工程、人工智能、数据科学与大数据技术、网络空间安全、计算机软件与理论、计算机系统结构、测控技术与仪器、仪器科学与技术、光学工程、集成光学、物理学、机械设计制造及其自动化、机械工程、机械电子工程、材料科学与工程、电子封装技术、材料成型与控制工程、热能与动力工程、电子对抗、无人系统工程、量子信息科学、量子传感、机电一体化、测控仪器、智能制造、自动化、机械设计制造及自动化、控制科学与工程、控制理论与工程、导航工程、自动控制、电气工程及其自动化、电力电子与电力传动、工科专业背景",2026/09/01,尽快投递,https://webapp.zhaopin.com/2025/hd/hddzcv0922ZL82493/post/index.html,https://mp.weixin.qq.com/s/0faqqiQwEo1bAxBasIIOTQ,无笔试
中国电科八所,央国企,电子/半导体,秋招,2027届,安徽合肥,电路设计工程师光纤传感工程师光模块工程师光纤连接器工程师光器件工程师机械设计工程师电气设计工程师光电线缆工程师销售工程师,2026/09/01,尽快投递,https://www.zhaopin.com/companydetail/jobs-CZ385579120/,https://mp.weixin.qq.com/s/xAhcFGDoYUqZXHEbO0hX5w,无笔试
青岛仪迪电子,民企,电子/半导体,秋招,2027届,青岛,嵌入式软硬件工程师 电力电子工程师硬件工程师机械设计结构工程师销售工程师售后工程师,2026/09/01,尽快投递,https://mp.weixin.qq.com/s/GFVJ2nA7DaYpS-N8LYHaxg?scene=1&amp;click_id=1200694053,https://mp.weixin.qq.com/s/GFVJ2nA7DaYpS-N8LYHaxg?scene=1&amp;click_id=1200694053,未明确
华夏建龙,民企,矿产/钢铁,秋招,2027届,北京,矿业矿山类设备机电类工程材料类职能经管类,2026/09/01,尽快投递,https://mp.weixin.qq.com/s/BpzzhASNOsSQLRq5Kcik9w,https://mp.weixin.qq.com/s/BpzzhASNOsSQLRq5Kcik9w,未明确
云路股份,民企,矿产/钢铁,秋招,"2027届, 2026届, 2025届",青岛深圳北京加拿大,物理冶金工程材料科学与工程化学机械工程化学工程与技术力学电气工程动力工程及工程热物理,2026/09/01,尽快投递,https://www.iguopin.com/company/jobs?id=10685397028152875,https://mp.weixin.qq.com/s/2AmnmVJoPKH0_1YS-3kr4A,未明确
北京太空起源,民企,高端装备与国防科技/航空航天,秋招,2027届,北京,飞行器总体设计姿态控制设计气动力热设计弹道与轨道设计:制导设计导航系统设计分离设计仿真设计电气系统综合设计电子产品硬件电路设计嵌入式软件设计动力系统总体设计动力系统阀门设计增压输送系统设计增压输送总装设计加注供配气系统设计地面软件设计结构设计防隔热设计环境设计地面设计人工智能与系统算法液体火箭发动机系统设计液体火箭发动机燃烧装置与推力室设计液体火箭发动机涡轮泵设计液体火箭发动机阀门设计液体火箭发动机总装设计发动机试车台设计,2026/09/01,尽快投递,https://mp.weixin.qq.com/s/64dwu5G1rf1E7xIL7TZ37A?scene=1&amp;click_id=727688635,https://mp.weixin.qq.com/s/64dwu5G1rf1E7xIL7TZ37A?scene=1&amp;click_id=727688635,未明确
